trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-129.54050709319333,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",35,0,-120.88295455240642,"{0: 21, 1: 5, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-172.29035356089452,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-100.14892903405759,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,0,-86.73905146942627,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-38.790127929918015,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",25,10,-65.5738975215402,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",35,13,-87.4918810376596,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",20,0,-78.29929835542144,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,0,-126.09011625029827,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",30,1,-69.42649273267536,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",25,0,-93.53600759223022,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,16,9.056490034794118,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-172.37508059749013,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
