trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-4,-136.84935361997535,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-642.0748776897501,"{0: 70, 1: 16, 2: 22, 3: 2, 4: 10}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-19,-88.03023918240036,"{0: 25, 1: 5, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-55,-502.5292384573312,"{0: 45, 1: 7, 2: 13, 3: 0, 4: 10}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-69,-350.3370494045387,"{0: 62, 1: 15, 2: 10, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-75,-498.4285581556934,"{0: 54, 1: 18, 2: 14, 3: 1, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,-62,-346.7517250741875,"{0: 58, 1: 12, 2: 23, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-35,-329.2010033104204,"{0: 39, 1: 7, 2: 13, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-42,-256.56206686042117,"{0: 42, 1: 4, 2: 9, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,-48,-278.58072057212917,"{0: 49, 1: 9, 2: 22, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,2,-47.72186743872625,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,6,-18.364455229912615,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,-69,-633.5168261675085,"{0: 62, 1: 2, 2: 22, 3: 2, 4: 11}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-16,-134.72141984917965,"{0: 26, 1: 3, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,9,-14.094663433848778,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-420.53219891527436,"{0: 72, 1: 17, 2: 25, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-64,-434.4317944555054,"{0: 55, 1: 6, 2: 20, 3: 2, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-542.0016152148554,"{0: 74, 1: 24, 2: 17, 3: 2, 4: 8}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-78,-227.41390730118172,"{0: 69, 1: 11, 2: 13, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-82,-438.3173149576357,"{0: 59, 1: 16, 2: 20, 3: 2, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-775.6856903382246,"{0: 73, 1: 14, 2: 22, 3: 3, 4: 13}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-52,-270.6199107031125,"{0: 44, 1: 10, 2: 12, 3: 4, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-33,-217.56511389725847,"{0: 30, 1: 10, 2: 10, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,-11,-185.70819405438954,"{0: 28, 1: 3, 2: 13, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-508.7388305565161,"{0: 73, 1: 14, 2: 31, 3: 3, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-39,-277.68945541990576,"{0: 37, 1: 8, 2: 6, 3: 4, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-35,-330.4424957722597,"{0: 34, 1: 11, 2: 15, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-47,-307.1739053733286,"{0: 46, 1: 6, 2: 15, 3: 0, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-343.9333219214987,"{0: 80, 1: 14, 2: 20, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-44,-303.28181902446596,"{0: 41, 1: 6, 2: 11, 3: 1, 4: 5}",0
